"#","category","filename","folder","reference","needs_back","descriptor","status"
"24","body_back","base/body_athletic_light_back.png","base","base/body_athletic_light.png","no","athletic — defined shoulders, visible abs, strong quads and calves; light warm skin (back)","todo"
"25","body","base/body_athletic_medium.png","base","—","yes","athletic — defined shoulders, visible abs, strong quads and calves; warm medium-brown skin","todo"
"26","body_back","base/body_athletic_medium_back.png","base","base/body_athletic_medium.png","no","athletic — defined shoulders, visible abs, strong quads and calves; warm medium-brown skin (back)","todo"
"27","body","base/body_athletic_deep.png","base","—","yes","athletic — defined shoulders, visible abs, strong quads and calves; deep rich brown skin","todo"
"28","body_back","base/body_athletic_deep_back.png","base","base/body_athletic_deep.png","no","athletic — defined shoulders, visible abs, strong quads and calves; deep rich brown skin (back)","todo"
"29","body","base/body_curvy_light.png","base","—","yes","curvy — full hips and bust, soft waist, real curves; light warm skin","todo"
"30","body_back","base/body_curvy_light_back.png","base","base/body_curvy_light.png","no","curvy — full hips and bust, soft waist, real curves; light warm skin (back)","todo"
"31","body","base/body_curvy_medium.png","base","—","yes","curvy — full hips and bust, soft waist, real curves; warm medium-brown skin","todo"
"32","body_back","base/body_curvy_medium_back.png","base","base/body_curvy_medium.png","no","curvy — full hips and bust, soft waist, real curves; warm medium-brown skin (back)","todo"
"33","body","base/body_curvy_deep.png","base","—","yes","curvy — full hips and bust, soft waist, real curves; deep rich brown skin","todo"
"34","body_back","base/body_curvy_deep_back.png","base","base/body_curvy_deep.png","no","curvy — full hips and bust, soft waist, real curves; deep rich brown skin (back)","todo"
"35","body","base/body_plus_light.png","base","—","yes","plus-size — full soft body, real weight honored, round belly and arms; light warm skin","todo"
"36","body_back","base/body_plus_light_back.png","base","base/body_plus_light.png","no","plus-size — full soft body, real weight honored, round belly and arms; light warm skin (back)","todo"
"37","body","base/body_plus_medium.png","base","—","yes","plus-size — full soft body, real weight honored, round belly and arms; warm medium-brown skin","todo"
"38","body_back","base/body_plus_medium_back.png","base","base/body_plus_medium.png","no","plus-size — full soft body, real weight honored, round belly and arms; warm medium-brown skin (back)","todo"
"39","body","base/body_plus_deep.png","base","—","yes","plus-size — full soft body, real weight honored, round belly and arms; deep rich brown skin","todo"
"40","body_back","base/body_plus_deep_back.png","base","base/body_plus_deep.png","no","plus-size — full soft body, real weight honored, round belly and arms; deep rich brown skin (back)","todo"
"41","body","base/body_muscular_light.png","base","—","yes","muscular — heavy gym build, thick arms, broad back, big legs; light warm skin","todo"
"42","body_back","base/body_muscular_light_back.png","base","base/body_muscular_light.png","no","muscular — heavy gym build, thick arms, broad back, big legs; light warm skin (back)","todo"
"43","body","base/body_muscular_medium.png","base","—","yes","muscular — heavy gym build, thick arms, broad back, big legs; warm medium-brown skin","todo"
"44","body_back","base/body_muscular_medium_back.png","base","base/body_muscular_medium.png","no","muscular — heavy gym build, thick arms, broad back, big legs; warm medium-brown skin (back)","todo"
"45","body","base/body_muscular_deep.png","base","—","yes","muscular — heavy gym build, thick arms, broad back, big legs; deep rich brown skin","todo"
"46","body_back","base/body_muscular_deep_back.png","base","base/body_muscular_deep.png","no","muscular — heavy gym build, thick arms, broad back, big legs; deep rich brown skin (back)","todo"
"47","body","base/body_tall-lean_light.png","base","—","yes","tall and lean — long limbs, elongated lean frame; light warm skin","todo"
"48","body_back","base/body_tall-lean_light_back.png","base","base/body_tall-lean_light.png","no","tall and lean — long limbs, elongated lean frame; light warm skin (back)","todo"
"49","body","base/body_tall-lean_medium.png","base","—","yes","tall and lean — long limbs, elongated lean frame; warm medium-brown skin","todo"
"50","body_back","base/body_tall-lean_medium_back.png","base","base/body_tall-lean_medium.png","no","tall and lean — long limbs, elongated lean frame; warm medium-brown skin (back)","todo"
"51","body","base/body_tall-lean_deep.png","base","—","yes","tall and lean — long limbs, elongated lean frame; deep rich brown skin","todo"
"52","body_back","base/body_tall-lean_deep_back.png","base","base/body_tall-lean_deep.png","no","tall and lean — long limbs, elongated lean frame; deep rich brown skin (back)","todo"
"53","eyes","eyes/eyes_almond-brown.png","eyes","base-head-guide","no","almond shape, warm brown iris","todo"
"54","eyes","eyes/eyes_round-hazel.png","eyes","base-head-guide","no","round shape, hazel iris","todo"
"55","eyes","eyes/eyes_hooded-dark.png","eyes","base-head-guide","no","hooded lids, deep brown iris","todo"
"56","eyes","eyes/eyes_upturned-green.png","eyes","base-head-guide","no","upturned shape, green iris","todo"
"57","eyes","eyes/eyes_monolid-brown.png","eyes","base-head-guide","no","monolid, dark brown iris","todo"
"58","eyes","eyes/eyes_wide-blue.png","eyes","base-head-guide","no","wide round, blue-grey iris","todo"
"59","brows","brows/brows_thick-straight-black.png","brows","base-head-guide","no","thick straight, black","todo"
"60","brows","brows/brows_soft-arched-brown.png","brows","base-head-guide","no","soft arched, brown","todo"
"61","brows","brows/brows_sharp-arched-dark.png","brows","base-head-guide","no","sharp arched, dark","todo"
"62","brows","brows/brows_feathered-auburn.png","brows","base-head-guide","no","natural feathered, auburn","todo"
"63","nose","nose/nose_straight-narrow.png","nose","base-head-guide","no","straight, narrow","todo"
"64","nose","nose/nose_round-button.png","nose","base-head-guide","no","rounded button","todo"
"65","nose","nose/nose_broad-flat.png","nose","base-head-guide","no","broad, flat","todo"
"66","nose","nose/nose_aquiline.png","nose","base-head-guide","no","aquiline / hooked","todo"
"67","nose","nose/nose_upturned.png","nose","base-head-guide","no","upturned","todo"
"68","mouth","mouth/mouth_full-warm.png","mouth","base-head-guide","no","full lips, neutral warm smile, bare","todo"
"69","mouth","mouth/mouth_wide-grin.png","mouth","base-head-guide","no","wide grin showing teeth, bare","todo"
"70","mouth","mouth/mouth_soft-small.png","mouth","base-head-guide","no","soft small smile, nude tone","todo"
"71","mouth","mouth/mouth_pouty.png","mouth","base-head-guide","no","pouty full lips, berry tint","todo"
"72","mouth","mouth/mouth_smirk.png","mouth","base-head-guide","no","subtle confident smirk, bare","todo"
"73","ears","ears/ears_attached.png","ears","base-head-guide","no","attached lobe, medium","todo"
"74","ears","ears/ears_detached.png","ears","base-head-guide","no","detached lobe, medium","todo"
"75","ears","ears/ears_small.png","ears","base-head-guide","no","small ears","todo"
"76","hair","hair-front/hair_loose-waves-brown.png","hair-front","base-body-guide","yes","long loose waves, dark brown","todo"
"77","hair_back","hair-back/hair_loose-waves-brown_back.png","hair-back","hair-front/hair_loose-waves-brown.png","no","long loose waves, dark brown (back)","todo"
"78","hair","hair-front/hair_box-braids-black.png","hair-front","base-body-guide","yes","box braids to mid-back, black","todo"
"79","hair_back","hair-back/hair_box-braids-black_back.png","hair-back","hair-front/hair_box-braids-black.png","no","box braids to mid-back, black (back)","todo"
"80","hair","hair-front/hair_short-afro-black.png","hair-front","base-body-guide","yes","short rounded afro, black","todo"
"81","hair_back","hair-back/hair_short-afro-black_back.png","hair-back","hair-front/hair_short-afro-black.png","no","short rounded afro, black (back)","todo"
"82","hair","hair-front/hair_high-pony-black.png","hair-front","base-body-guide","yes","high ponytail, black","todo"
"83","hair_back","hair-back/hair_high-pony-black_back.png","hair-back","hair-front/hair_high-pony-black.png","no","high ponytail, black (back)","todo"
"84","hair","hair-front/hair_buzzcut-black.png","hair-front","base-body-guide","yes","buzzcut / very short, black","todo"
"85","hair_back","hair-back/hair_buzzcut-black_back.png","hair-back","hair-front/hair_buzzcut-black.png","no","buzzcut / very short, black (back)","todo"
"86","hair","hair-front/hair_curtain-bob-blonde.png","hair-front","base-body-guide","yes","curtain-bangs bob, blonde","todo"
"87","hair_back","hair-back/hair_curtain-bob-blonde_back.png","hair-back","hair-front/hair_curtain-bob-blonde.png","no","curtain-bangs bob, blonde (back)","todo"
"88","hair","hair-front/hair_locs-black.png","hair-front","base-body-guide","yes","shoulder locs, black","todo"
"89","hair_back","hair-back/hair_locs-black_back.png","hair-back","hair-front/hair_locs-black.png","no","shoulder locs, black (back)","todo"
"90","hair","hair-front/hair_slick-bun-brown.png","hair-front","base-body-guide","yes","slicked-back bun, dark brown","todo"
"91","hair_back","hair-back/hair_slick-bun-brown_back.png","hair-back","hair-front/hair_slick-bun-brown.png","no","slicked-back bun, dark brown (back)","todo"
"92","top","clothing/top_tank-white.png","clothing","base-body-guide","yes","white ribbed tank","todo"
"93","top_back","clothing/top_tank-white_back.png","clothing","clothing/top_tank-white.png","no","white ribbed tank (back)","todo"
"94","top","clothing/top_tee-la.png","clothing","base-body-guide","yes","oversized graphic tee, 'Los Angeles' script","todo"
"95","top_back","clothing/top_tee-la_back.png","clothing","clothing/top_tee-la.png","no","oversized graphic tee, 'Los Angeles' script (back)","todo"
"96","top","clothing/top_hoodie-crop.png","clothing","base-body-guide","yes","cropped hoodie, heather grey","todo"
"97","top_back","clothing/top_hoodie-crop_back.png","clothing","clothing/top_hoodie-crop.png","no","cropped hoodie, heather grey (back)","todo"
"98","top","clothing/top_jersey-10.png","clothing","base-body-guide","yes","soccer jersey, number 10","todo"
"99","top_back","clothing/top_jersey-10_back.png","clothing","clothing/top_jersey-10.png","no","soccer jersey, number 10 (back)","todo"
"100","top","clothing/top_denim-jacket.png","clothing","base-body-guide","yes","denim jacket over a tee","todo"
"101","top_back","clothing/top_denim-jacket_back.png","clothing","clothing/top_denim-jacket.png","no","denim jacket over a tee (back)","todo"
"102","top","clothing/top_blouse-silk.png","clothing","base-body-guide","yes","silk blouse, cream","todo"
"103","top_back","clothing/top_blouse-silk_back.png","clothing","clothing/top_blouse-silk.png","no","silk blouse, cream (back)","todo"
"104","bottom","clothing/bottom_jeans-skinny.png","clothing","base-body-guide","yes","blue skinny jeans, ripped knees","todo"
"105","bottom_back","clothing/bottom_jeans-skinny_back.png","clothing","clothing/bottom_jeans-skinny.png","no","blue skinny jeans, ripped knees (back)","todo"
"106","bottom","clothing/bottom_shorts-denim.png","clothing","base-body-guide","yes","denim shorts","todo"
"107","bottom_back","clothing/bottom_shorts-denim_back.png","clothing","clothing/bottom_shorts-denim.png","no","denim shorts (back)","todo"
"108","bottom","clothing/bottom_cargos.png","clothing","base-body-guide","yes","olive cargo pants","todo"
"109","bottom_back","clothing/bottom_cargos_back.png","clothing","clothing/bottom_cargos.png","no","olive cargo pants (back)","todo"
"110","bottom","clothing/bottom_skirt-pleated.png","clothing","base-body-guide","yes","pleated mini skirt","todo"
"111","bottom_back","clothing/bottom_skirt-pleated_back.png","clothing","clothing/bottom_skirt-pleated.png","no","pleated mini skirt (back)","todo"
"112","bottom","clothing/bottom_trousers-wide.png","clothing","base-body-guide","yes","wide-leg trousers, tan","todo"
"113","bottom_back","clothing/bottom_trousers-wide_back.png","clothing","clothing/bottom_trousers-wide.png","no","wide-leg trousers, tan (back)","todo"
"114","dress","clothing/dress_slip.png","clothing","base-body-guide","yes","satin slip dress, champagne","todo"
"115","dress_back","clothing/dress_slip_back.png","clothing","clothing/dress_slip.png","no","satin slip dress, champagne (back)","todo"
"116","dress","clothing/dress_sundress-floral.png","clothing","base-body-guide","yes","floral sundress","todo"
"117","dress_back","clothing/dress_sundress-floral_back.png","clothing","clothing/dress_sundress-floral.png","no","floral sundress (back)","todo"
"118","dress","clothing/dress_bodycon.png","clothing","base-body-guide","yes","black bodycon dress","todo"
"119","dress_back","clothing/dress_bodycon_back.png","clothing","clothing/dress_bodycon.png","no","black bodycon dress (back)","todo"
"120","shoes","shoes/shoes_sneakers-white.png","shoes","base-body-guide","yes","white sneakers, swoosh","todo"
"121","shoes_back","shoes/shoes_sneakers-white_back.png","shoes","shoes/shoes_sneakers-white.png","no","white sneakers, swoosh (back)","todo"
"122","shoes","shoes/shoes_havaianas.png","shoes","base-body-guide","yes","Havaianas flip-flops","todo"
"123","shoes_back","shoes/shoes_havaianas_back.png","shoes","shoes/shoes_havaianas.png","no","Havaianas flip-flops (back)","todo"
"124","shoes","shoes/shoes_boots-black.png","shoes","base-body-guide","yes","black leather boots","todo"
"125","shoes_back","shoes/shoes_boots-black_back.png","shoes","shoes/shoes_boots-black.png","no","black leather boots (back)","todo"
"126","shoes","shoes/shoes_heels.png","shoes","base-body-guide","yes","strappy heels","todo"
"127","shoes_back","shoes/shoes_heels_back.png","shoes","shoes/shoes_heels.png","no","strappy heels (back)","todo"
"128","shoes","shoes/shoes_converse.png","shoes","base-body-guide","yes","black high-top Converse","todo"
"129","shoes_back","shoes/shoes_converse_back.png","shoes","shoes/shoes_converse.png","no","black high-top Converse (back)","todo"
"130","glasses","accessories/glasses_round-wire.png","accessories","base-head-guide","no","round wire frames","todo"
"131","glasses","accessories/glasses_black-rect.png","accessories","base-head-guide","no","black rectangular frames","todo"
"132","glasses","accessories/glasses_cat-eye.png","accessories","base-head-guide","no","cat-eye frames","todo"
"133","glasses","accessories/glasses_aviators.png","accessories","base-head-guide","no","aviator sunglasses","todo"
"134","earrings","accessories/earrings_gold-hoops.png","accessories","base-head-guide","no","gold hoops","todo"
"135","earrings","accessories/earrings_studs.png","accessories","base-head-guide","no","small studs","todo"
"136","earrings","accessories/earrings_dangly.png","accessories","base-head-guide","no","dangly drop earrings","todo"
"137","necklace","accessories/necklace_beads-candomble.png","accessories","base-body-guide","no","layered white/gold/red Candomblé beads","todo"
"138","necklace","accessories/necklace_gold-chain.png","accessories","base-body-guide","no","gold chain with pendant","todo"
"139","necklace","accessories/necklace_choker.png","accessories","base-body-guide","no","black choker","todo"
"140","hat","accessories/hat_snapback.png","accessories","base-head-guide","yes","flat-brim snapback","todo"
"141","hat_back","accessories/hat_snapback_back.png","accessories","accessories/hat_snapback.png","no","flat-brim snapback (back)","todo"
"142","hat","accessories/hat_beanie.png","accessories","base-head-guide","yes","knit beanie","todo"
"143","hat_back","accessories/hat_beanie_back.png","accessories","accessories/hat_beanie.png","no","knit beanie (back)","todo"
"144","hat","accessories/hat_durag.png","accessories","base-head-guide","yes","silky durag","todo"
"145","hat_back","accessories/hat_durag_back.png","accessories","accessories/hat_durag.png","no","silky durag (back)","todo"
"146","hat","accessories/hat_bucket.png","accessories","base-head-guide","yes","bucket hat","todo"
"147","hat_back","accessories/hat_bucket_back.png","accessories","accessories/hat_bucket.png","no","bucket hat (back)","todo"
"148","wrist","accessories/wrist_gold-watch.png","accessories","base-body-guide","no","gold watch","todo"
"149","wrist","accessories/wrist_bangles.png","accessories","base-body-guide","no","stack of gold bangles","todo"
"150","tattoo","accessories/tattoo_sleeve-rose-palm.png","accessories","base-body-guide","no","left forearm sleeve: rose + palm","todo"
"151","tattoo","accessories/tattoo_script-la.png","accessories","base-body-guide","no","chest script: 'Los Angeles'","todo"
"152","tattoo","accessories/tattoo_thigh-floral.png","accessories","base-body-guide","no","right thigh: fine-line florals","todo"
"153","tattoo","accessories/tattoo_back-piece.png","accessories","base-body-guide","no","full back piece: ornamental","todo"
